Performance Measure,Mean,Standard Deviation
F1_4,0.03566879,0.03566879
F1_5,0.5103606,0.5103606
Classification_Accuracy,0.7894,0.4818
Recall_5,0.7777643,0.7777643
Recall_4,0.028282827,0.028282827
Recall_3,0.0,0.0
Recall_2,0.007843138,0.007843138
Recall_1,0.9906635,0.009336472
Precision_5,0.38143048,0.38143048
Precision_4,0.048275862,0.048275862
Precision_3,0.0,0.0
Global_F1,0.29293495,0.1988389
Precision_2,0.022222223,0.022222223
Precision_1,0.86817014,0.5605701
F1_1,0.9070511,0.43657082
F1_2,0.011594203,0.011594203
F1_3,0.0,0.0

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.045,0.02,0.014,0.01,0.009,0.01,0.008,0.008,0.008,0.008,
Test Time (Minutes),19.916966666666667,19.975166666666667,19.99735,19.86875,19.826916666666666,19.087683333333334,19.22385,19.638,19.6933,19.65961666666667,
