Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_4,0.43773586,0.0,0.0,0.0729927,0.124031015,0.2733813,0.41414142,0.5140562,0.46753246,0.5074627
F1_5,0.6238096,0.8634147,0.686636,0.8983957,0.6742081,0.6842105,0.8341708,0.8351064,0.815534,0.7736842
Classification_Accuracy,0.9032,0.9156,0.9176,0.9184,0.8664,0.8536,0.9236,0.9208,0.9188,0.9148
Recall_5,0.81875,0.9567568,0.87134504,1.0,0.75634515,0.69148934,1.0,1.0,1.0,1.0
Recall_4,0.4715447,0.0,0.0,0.0390625,0.071428575,0.26760563,0.36607143,0.58181816,0.44262296,0.5074627
Recall_3,0.0,0.45038167,0.5080645,0.515625,0.23893805,0.0,0.1875,0.0,0.0,0.0
Recall_2,1.0,1.0,1.0,0.7790698,0.2888889,0.40952381,0.67777777,0.36363637,0.85,0.84
Recall_1,0.9881188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Precision_5,0.50384617,0.7866667,0.56653994,0.815534,0.60816324,0.6770833,0.7155172,0.716895,0.6885246,0.6309013
Precision_4,0.4084507,0.0,0.0,0.5555556,0.47058824,0.27941176,0.47674417,0.46043167,0.49541286,0.5074627
Precision_3,0.0,0.45736435,0.47727272,0.5322581,0.24324325,0.0,0.5121951,0.0,0.0,0.0
Global_F1,0.577971,0.6507032,0.6137145,0.66911,0.49032307,0.49756676,0.66322696,0.57357705,0.6368729,0.63584715
Precision_2,0.71568626,0.9183673,0.8018018,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Precision_1,1.0,0.9584961,0.9994985,0.9503343,0.9305556,0.903241,0.97115386,0.9711993,0.965368,0.9705314
F1_1,0.99402386,0.9788083,0.9997492,0.9745348,0.9640288,0.94916093,0.98536587,0.98538923,0.98237884,0.9850453
F1_2,0.8342857,0.95744675,0.89,0.875817,0.44827586,0.5810811,0.80794704,0.53333336,0.9189189,0.9130435
F1_3,0.0,0.45384613,0.49218747,0.5238096,0.24107143,0.0,0.2745098,0.0,0.0,0.0
